('port 1',TE,1,'port 1',1,'transmission')
(500,3)
1.95943e+14	3.85849e-06	2.35207
1.9593e+14	2.62479e-06	1.99135
1.95917e+14	1.07641e-06	1.56452
1.95904e+14	6.3697e-07	-1.52518
1.95891e+14	2.22563e-06	-2.04293
1.95879e+14	3.54864e-06	-2.41016
1.95866e+14	4.43267e-06	-2.76102
1.95853e+14	4.76862e-06	-3.10756
1.9584e+14	4.51595e-06	-3.45374
1.95827e+14	3.70706e-06	-3.80319
1.95815e+14	2.44351e-06	-4.16544
1.95802e+14	8.88131e-07	-4.61705
1.95789e+14	8.09672e-07	-7.73098
1.95776e+14	2.36819e-06	-8.1975
1.95763e+14	3.6404e-06	-8.5605
1.9575e+14	4.46259e-06	-8.90955
1.95738e+14	4.73317e-06	-9.25486
1.95725e+14	4.41947e-06	-9.60015
1.95712e+14	3.56131e-06	-9.94927
1.95699e+14	2.26643e-06	-10.3134
1.95686e+14	7.04353e-07	-10.8043
1.95674e+14	9.80665e-07	-13.907
1.95661e+14	2.50641e-06	-14.3416
1.95648e+14	3.72579e-06	-14.7009
1.95635e+14	4.48334e-06	-15.0481
1.95622e+14	4.68527e-06	-15.3921
1.9561e+14	4.3072e-06	-15.7365
1.95597e+14	3.39686e-06	-16.0854
1.95584e+14	2.06871e-06	-16.4525
1.95571e+14	5.02524e-07	-17.0253
1.95559e+14	1.17303e-06	-20.0642
1.95546e+14	2.66288e-06	-20.4749
1.95533e+14	3.82546e-06	-20.8303
1.9552e+14	4.5133e-06	-21.1756
1.95507e+14	4.64094e-06	-21.5183
1.95495e+14	4.19299e-06	-21.8616
1.95482e+14	3.22582e-06	-22.2104
1.95469e+14	1.8614e-06	-22.5818
1.95456e+14	3.00703e-07	-23.3673
1.95444e+14	1.37534e-06	-26.2025
1.95431e+14	2.825e-06	-26.5956
1.95418e+14	3.92488e-06	-26.9474
1.95405e+14	4.53567e-06	-27.2907
1.95393e+14	4.5811e-06	-27.6318
1.9538e+14	4.05578e-06	-27.9742
1.95367e+14	3.02584e-06	-28.3231
1.95354e+14	1.62184e-06	-28.7018
1.95342e+14	1.52175e-07	-30.4684
1.95329e+14	1.60789e-06	-32.3237
1.95316e+14	3.01071e-06	-32.7024
1.95303e+14	4.03876e-06	-33.0505
1.95291e+14	4.56157e-06	-33.3916
1.95278e+14	4.51341e-06	-33.731
1.95265e+14	3.90034e-06	-34.0723
1.95252e+14	2.79971e-06	-34.4219
1.9524e+14	1.35227e-06	-34.8134
1.95227e+14	3.15009e-07	-37.6717
1.95214e+14	1.86604e-06	-38.426
1.95201e+14	3.21233e-06	-38.793
1.95189e+14	4.15555e-06	-39.1373
1.95176e+14	4.5754e-06	-39.4759
1.95163e+14	4.41848e-06	-39.8136
1.9515e+14	3.70444e-06	-40.1538
1.95138e+14	2.52379e-06	-40.505
1.95125e+14	1.03003e-06	-40.9239
1.95112e+14	6.29031e-07	-44.0035
1.95099e+14	2.16713e-06	-44.5079
1.95087e+14	3.44204e-06	-44.8646
1.95074e+14	4.2814e-06	-45.2049
1.95061e+14	4.57717e-06	-45.5408
1.95049e+14	4.29102e-06	-45.8764
1.95036e+14	3.45893e-06	-46.2157
1.95023e+14	2.1873e-06	-46.5706
1.9501e+14	6.47895e-07	-47.0669
1.94998e+14	1.01475e-06	-50.1477
1.94985e+14	2.51231e-06	-50.5656
1.94972e+14	3.69375e-06	-50.9133
1.9496e+14	4.40222e-06	-51.2492
1.94947e+14	4.54519e-06	-51.582
1.94934e+14	4.10318e-06	-51.9153
